index|LATITUDE|LONGITUDE|name
0|0|47.8663|-121.7175|STARTUP 1 E, WA US
1|2|48.6116|-122.8063|OLGA 2 SE, WA US
2|4|48.7272|-121.0722|ROSS DAM, WA US
3|6|47.2325|-117.3626|ROSALIA, WA US
4|8|48.36|-119.08|MOSES MOUNTAIN, WA US
5|10|47.54|-121.09|FISH LAKE, WA US
6|12|46.2014|-119.758|PROSSER, WA US
7|13|48.44028|-122.38667|MOUNT VERNON 3 WNW, WA US
8|15|47.1175|-118.3714|RITZVILLE 1 SSE, WA US
9|17|48.5472|-117.9019|COLVILLE, WA US
10|19|47.768|-118.7239|WILBUR, WA US
11|21|47.2235|-119.8524|QUINCY 1 S, WA US
12|23|46.78|-121.75|PARADISE, WA US
13|25|46.8167|-117.883|LACROSSE, WA US
14|27|47.18899999999999|-120.913|CLE ELUM, WA US
15|29|46.8367|-119.6633|SMYRNA, WA US
16|31|47.28|-120.49|GROUSE CAMP, WA US
17|33|47.5586|-120.675|LEAVENWORTH 3 S, WA US
18|35|45.9547|-122.5638|MERWIN DAM, WA US
19|37|48.7141|-121.14299999999999|DIABLO DAM, WA US
20|38|46.3152|-118.0022|DAYTON 1 WSW, WA US
21|40|47.23|-120.29|TROUGH, WA US
22|42|45.9997|-121.5403|MOUNT ADAMS RANGER STATION, WA US
23|44|46.3725|-123.75299999999999|NASELLE 2 ENE, WA US
24|46|47.99|-120.57|POPE RIDGE, WA US
25|48|48.1138|-123.4316|PORT ANGELES, WA US
26|50|46.36|-121.08|LOST HORSE, WA US
27|52|47.88|-117.09|QUARTZ PEAK, WA US
28|54|46.09|-121.76|SURPRISE LAKES, WA US
29|56|48.72|-120.66|HARTS PASS, WA US
30|58|47.68|-121.61|SKOOKUM CREEK, WA US
31|60|47.0022|-118.5657|LIND 3 NE, WA US
32|62|48.647|-118.7314|REPUBLIC, WA US
33|64|46.27|-121.96|LONE PINE, WA US
34|66|45.8081|-120.8428|GOLDENDALE, WA US
35|67|46.35|-121.51|POTATO HILL, WA US
36|69|47.3|-121.6|REX RIVER, WA US
37|71|46.81|-121.33|BUMPING RIDGE, WA US
38|73|47.8452|-121.9944|MONROE, WA US
39|74|47.0933|-117.5878|SAINT JOHN, WA US
40|76|47.5688|-122.6827|BREMERTON, WA US
41|77|46.4672|-117.5883|POMEROY, WA US
42|78|47.6812|-117.6267|SPOKANE WEATHER FORECAST OFFICE, WA US
43|80|47.3058|-121.8513|PALMER 3 ESE, WA US
44|82|46.0436|-118.4628|WHITMAN MISSION, WA US
45|84|46.18|-121.93|SPENCER MEADOW, WA US
46|86|47.1455|-123.4005|MATLOCK 8 S, WA US
47|88|45.8677|-121.9733|CARSON FISH HATCHERY, WA US
48|90|45.6194|-121.1661|DALLESPORT AIRPORT, WA US
49|92|47.6575|-118.1615|DAVENPORT, WA US
50|93|47.8091|-122.9136|QUILCENE 2 SW, WA US
51|95|46.26|-122.18|SPIRIT LAKE, WA US
52|97|47.78|-121.7|ALPINE MEADOWS, WA US
53|99|48.2733|-117.7409|CHEWELAH, WA US
54|101|48.1156|-120.1031|DOUGLAS INGRAM RIDGE WASHINGTO, WA US
55|103|46.72|-122.9527|CENTRALIA, WA US
56|104|46.3119|-119.2633|RICHLAND, WA US
57|106|46.5667|-121.6306|HAGER CREEK WASHINGTON, WA US
58|107|46.3872|-123.5602|GRAYS RIVER HATCHERY, WA US
59|109|47.27|-121.34|STAMPEDE PASS, WA US
60|111|48.522220000000004|-123.02306000000002|FRIDAY HARBOR AIRPORT, WA US
61|112|46.9733|-122.9033|OLYMPIA AIRPORT, WA US
62|114|48.1806|-118.4636|GOLD MOUNTAIN WASHINGTON, WA US
63|115|48.2975|-117.4039|FLOWERY TRAIL WASHINGTON, WA US
64|116|47.9558|-124.3539|FORKS 1 E, WA US
65|118|46.20399999999999|-117.2472|ASOTIN 14 SW, WA US
66|120|46.8008|-124.0863|GRAYLAND, WA US
67|122|47.3329|-118.6967|ODESSA, WA US
68|124|47.28|-121.47|MEADOWS PASS, WA US
69|126|48.5119|-122.6136|ANACORTES, WA US
70|128|47.75|-121.09|STEVENS PASS, WA US
71|130|46.55|-121.17|GREEN LAKE, WA US
72|132|47.02|-121.46|CORRAL PASS, WA US
73|134|47.3705|-123.16|CUSHMAN POWERHOUSE NUMBER 2, WA US
74|136|48.9775|-122.7927|BLAINE, WA US
75|138|46.35|-123.1|ABERNATHY MOUNTAIN WASHINGTON, WA US
76|139|46.1505|-122.9163|LONGVIEW, WA US
77|140|48.9946|-117.3544|BOUNDARY DAM, WA US
78|142|48.2|-120.92|LYMAN LAKE, WA US
79|144|46.62972|-123.21056000000002|DOTY 3 E, WA US
80|146|46.3236|-120.0103|SUNNYSIDE, WA US
81|147|47.5711|-124.2922|CLEARWATER, WA US
82|149|46.7491|-121.8119|LONGMIRE RAINIER NPS, WA US
83|151|46.6091|-121.6744|PACKWOOD, WA US
84|153|46.12|-117.85|TOUCHET, WA US
85|155|46.62|-121.39|PIGTAIL PEAK, WA US
86|157|45.62083|-122.65722|VANCOUVER PEARSON AIRPORT, WA US
87|158|46.0163|-122.7325|KALAMA FALLS HATCHERY, WA US
88|160|48.9797|-117.6747|CEDAR CREEK WASHINGTON, WA US
89|162|48.66|-119.84|SALMON MEADOWS, WA US
90|164|46.7225|-118.6524|HATTON 9 SE, WA US
91|166|48.44|-120.92|PARK CREEK RIDGE, WA US
92|168|48.6758|-121.2419|NEWHALEM, WA US
93|170|48.9672|-122.3291|CLEARBROOK, WA US
94|172|48.1843|-117.0476|NEWPORT, WA US
95|174|48.35|-122.66667|WHIDBEY ISLAND NAS, WA US
96|176|46.83333|-123.23333000000001|OAKVILLE, WA US
97|177|45.9481|-120.6669|SATUS PASS 2 SSW, WA US
98|178|47.9375|-124.555|QUILLAYUTE STATE AIRPORT, WA US
99|180|47.29|-120.37|UPPER WHEELER, WA US
100|182|47.37|-121.44|OLALLIE MEADOWS, WA US
101|184|48.5353|-118.6889|BROWN MOUNTAIN ORCHARD WASHINGTON, WA US
102|186|46.3675|-124.0377|LONG BEACH EXPERIMENT STATION, WA US
103|188|47.1694|-122.0036|BUCKLEY 1 NE, WA US
104|190|47.8344|-120.0005|CHELAN, WA US
105|192|47.4144|-121.7561|CEDAR LAKE, WA US
106|194|48.4609|-119.5168|OMAK, WA US
107|195|45.622|-122.2178|SKAMANIA FISH HATCHERY, WA US
108|197|47.3977|-120.2013|WENATCHEE PANGBORN AIRPORT, WA US
109|199|47.6983|-120.3228|ENTIAT FISH HATCHERY, WA US
110|201|48.6172|-120.1075|FIRST BUTTE WASHINGTON, WA US
111|203|47.28|-121.67|COUGAR MOUNTAIN, WA US
112|205|47.428999999999995|-120.31|WENATCHEE, WA US
113|207|47.3078|-119.5154|EPHRATA MUNICIPAL AIRPORT, WA US
114|209|48.8019|-117.6103|DEER MOUNTAIN WASHINGTON, WA US
115|210|48.69|-117.18|BUNCHGRASS MDW, WA US
116|212|48.2005|-122.12799999999999|ARLINGTON, WA US
117|213|47.1413|-121.9355|MUD MOUNTAIN DAM, WA US
118|215|48.8742|-117.8668|NORTHPORT, WA US
119|217|46.6533|-123.73|RAYMOND 2 S, WA US
120|219|46.9727|-123.9302|HOQUIAM BOWERMAN AIRPORT, WA US
121|221|46.0756|-118.2742|MILL CREEK DAM, WA US
122|223|47.9752|-122.195|EVERETT, WA US
123|225|47.76|-123.03|MOUNT CRAG, WA US
124|227|46.2447|-118.8786|ICE HARBOR DAM, WA US
125|229|47.2613|-123.7147|ABERDEEN 20 NNE, WA US
126|231|47.4444|-122.3138|SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US
127|233|45.6778|-122.65100000000001|VANCOUVER 4 NNE, WA US
128|235|47.36|-121.57|MOUNT GARDNER, WA US
129|237|47.20778|-119.31917|MOSES LAKE GRANT CO AIRPORT, WA US
130|238|49.0|-118.7667|MIDWAY, BC CA
131|240|46.533|-121.9327|RANDLE 1 E, WA US
132|241|47.2767|-121.3372|STAMPEDE PASS, WA US
133|242|47.4829|-118.2519|HARRINGTON 1 NW, WA US
134|244|48.0163|-123.5905|ELWHA R S, WA US
135|246|46.19|-122.25|SHEEP CANYON, WA US
136|248|46.9658|-123.8291|ABERDEEN, WA US
137|250|46.5086|-118.7878|CONNELL 12 SE, WA US
138|252|46.66444|-118.88278000000001|CONNELL 1 W, WA US
139|254|45.7716|-122.5286|BATTLE GROUND, WA US
140|256|48.6007|-120.4276|MAZAMA, WA US
141|258|46.3992|-119.1561|ELTOPIA 8 WSW, WA US
142|260|47.4172|-122.2433|KENT, WA US
143|262|45.9167|-122.1667|CANYON CREEK WASHINGTON, WA US
144|263|46.5683|-120.5428|YAKIMA AIRPORT, WA US
145|265|48.780559999999994|-119.42416999999999|TONASKET 4 NNE, WA US
146|267|46.48333|-122.81667|TOLEDO AIRPORT, WA US
147|268|47.8964|-117.9933|WELLPINIT, WA US
148|269|47.33|-121.47|TINKHAM CREEK, WA US
149|271|47.7333|-120.5333|DRY CREEK WASHINGTON, WA US
150|272|46.22528|-123.32888999999999|CATHLAMET 6 NE, WA US
151|274|46.78861|-119.04611000000001|OTHELLO 6 ESE, WA US
152|275|46.2111|-119.1011|KENNEWICK, WA US
153|276|48.085|-123.0638|SEQUIM 2 E, WA US
154|278|47.0091|-123.4008|ELMA, WA US
155|280|47.38|-121.06|SASSE RIDGE, WA US
156|282|46.0089|-121.2634|GLENWOOD NUMBER 2, WA US
157|284|46.15|-122.15|JUNE LAKE, WA US
158|286|48.7177|-122.5113|BELLINGHAM 3 SSW, WA US
159|288|48.5397|-121.7422|CONCRETE PPL FISH STATION, WA US
160|289|46.518609999999995|-122.13833000000001|GLENOMA, WA US
161|291|47.35|-120.68|BLEWETT PASS, WA US
162|293|46.91|-121.48|MORSE LAKE, WA US
163|295|47.5413|-121.8361|SNOQUALMIE FALLS, WA US
164|297|48.1989|-120.7735|HOLDEN VILLAGE, WA US
165|298|47.07|-121.59|HUCKLEBERRY CREEK, WA US
166|299|46.5044|-122.5938|MAYFIELD POWER PLANT, WA US
167|301|45.94056|-119.29778|MCNARY DAM, WA US
168|303|48.53|-120.99|THUNDER BASIN, WA US
169|305|47.7722|-121.4819|BARING, WA US
170|306|48.0333|-123.3333|VICTORIA GONZALES CS, BC CA
171|308|45.8091|-121.2812|APPLETON, WA US
172|310|47.1358|-122.2558|MCMILLIN RESERVOIR, WA US
173|312|48.1161|-122.7586|PORT TOWNSEND, WA US
174|314|46.64|-121.38|WHITE PASS E.S., WA US
175|316|48.2072|-122.6913|COUPEVILLE 1 S, WA US
176|318|48.3509|-120.7264|STEHEKIN 4 NW, WA US
177|319|48.69|-121.91|ELBOW LAKE, WA US
178|321|47.3725|-122.7027|WAUNA 3 W, WA US
179|323|47.6216|-117.52799999999999|SPOKANE INTERNATIONAL AIRPORT, WA US
180|325|47.62|-119.8983|DOUGLAS WASHINGTON, WA US
181|327|47.9522|-122.7908|CHIMACUM 4 S, WA US
182|329|46.9692|-120.54|ELLENSBURG, WA US
183|331|46.7602|-117.1861|PULLMAN 2 NW, WA US
184|332|48.4743|-120.1887|WINTHROP 1 WSW, WA US
185|334|48.87|-121.79|WELLS CREEK, WA US
186|336|47.6497|-120.0801|WATERVILLE, WA US
187|337|47.65|-122.3|SEATTLE PORTAGE BAY, WA US
188|338|48.52|-120.74|RAINY PASS, WA US
189|340|48.2|-120.96|MINERS RIDGE, WA US
190|341|47.9545|-118.9997|COULEE DAM 1 SW, WA US
191|342|46.4353|-120.4203|WAPATO, WA US
192|343|48.4958|-122.2355|SEDRO WOOLLEY, WA US
193|344|47.2336|-123.9897|HUMPTULIPS SALMON HATCHERY, WA US
194|345|47.7849|-120.6455|PLAIN, WA US
195|347|46.7858|-121.7425|RAINIER PARADISE RNG, WA US
196|348|48.6524|-121.693|UPPER BAKER DAM, WA US
197|349|46.0625|-122.2044|COUGAR 6 E, WA US
198|351|48.1074|-120.0078|METHOW 2 S, WA US
199|353|47.9967|-119.6482|CHIEF JOSEPH DAM, WA US
200|355|46.5053|-120.1677|MOXEE CITY 10 E, WA US
201|356|46.7322|-121.5727|RAINER OHANAPECOSH, WA US
202|361|47.2472|-122.4122|TACOMA NUMBER 1, WA US
203|369|46.2506|-119.3243|RICHLAND 3.4 SSW, WA US
204|371|46.6585|-120.7423|COWICHE 1.6 WSW, WA US
205|372|46.5367|-120.7134|YAKIMA 9.6 WSW, WA US
206|373|45.9|-122.22|CALAMITY, WA US
207|375|46.287|-119.305|RICHLAND 0.8 SW, WA US
208|377|45.699|-122.6506|VANCOUVER 4.2 NNE, WA US
209|378|45.9981|-120.3006|BICKLETON, WA US
210|379|46.6093|-120.5751|YAKIMA 2.5 WNW, WA US
211|380|45.6297|-122.3698|WASHOUGAL 3.7 NNW, WA US
212|384|45.5845|-122.374|CAMAS 2.4 E, WA US
213|386|46.5265|-124.051|OCEAN PARK 2.2 N, WA US
214|387|47.2867|-122.5025|TACOMA 3.1 NW, WA US
215|390|48.86|-121.44|EASY PASS, WA US
216|392|47.1739|-122.5978|STEILACOOM 0.4 NW, WA US
217|396|47.211000000000006|-122.256|EDGEWOOD 2.5 SE, WA US
218|399|48.26|-121.6036|DARRINGTON RANGER STATION, WA US
219|404|47.5139|-123.81200000000001|QUINAULT 4 NE, WA US
220|406|48.464444|-119.516944|OMAK, WA US
221|408|46.4428|-117.5701|POMEROY 2.5 SSE, WA US
222|415|46.5802|-120.538|YAKIMA 1.0 SSW, WA US
223|421|48.86|-118.4|SENTINEL BUTTE, WA US
224|429|47.4332|-122.1704|RENTON 3.6 SSE, WA US
225|431|47.9214|-118.9409|GRAND COULEE 3.2 ESE, WA US
226|432|47.1556|-121.6114|GREENWATER WASHINGTON, WA US
227|433|47.8657|-118.1473|DAVENPORT 14.8 N, WA US
228|442|47.2422|-121.1869|EASTON, WA US
229|443|48.76|-121.7|MARTEN RIDGE, WA US
230|447|47.798|-120.4014|ENTIAT 12.2 NW, WA US
231|451|46.2099|-119.2816|KENNEWICK 5.3 W, WA US
232|452|47.6924|-122.29799999999999|SHERIDAN BEACH 3.7 S, WA US
233|455|47.4174|-117.5264|SPOKANE 17 SSW, WA US
234|459|46.3522|-122.6058|ELK ROCK WASHINGTON, WA US
235|463|48.1578|-124.315|ELLIS MOUNT WASHINGTION, WA US
236|479|47.3178|-122.5767|GIG HARBOR 0.9 SE, WA US
237|491|47.6933|-121.9122|CARNATION 3.3 N, WA US
238|493|45.8819|-120.8365|GOLDENDALE 4.2 NNW, WA US
239|495|46.24|-117.39|SOURDOUGH GULCH, WA US
240|497|46.32|-121.94|PINTO ROCK, WA US
241|499|45.7317|-121.4981|WHITE SALMON 0.7 WNW, WA US
242|502|47.4669|-121.6806|NORTH BEND 5.4 ESE, WA US
243|504|48.8009|-122.7075|FERNDALE 6.5 WSW, WA US
244|507|48.793890000000005|-122.53721999999999|BELLINGHAM INTERNATIONAL AIRPORT, WA US
245|509|48.8576|-117.3738|METALINE FALLS 0.4 SSW, WA US
246|511|48.7158|-122.499|BELLINGHAM 2.4 SW, WA US
247|528|47.4325|-122.574|OLALLA 1.4 WNW, WA US
248|529|47.8988|-122.5711|HANSVILLE 1 SW, WA US
249|531|47.907779999999995|-122.28028|EVERETT SNOHOMISH CO AIRPORT, WA US
250|535|47.03389|-120.53028|ELLENSBURG BOWERS FIELD, WA US
251|537|47.2675|-122.57611000000001|TACOMA NARROWS AIRPORT, WA US
252|539|46.64|-121.83|SKATE CREEK, WA US
253|541|48.88|-121.26|BEAVER PASS, WA US
254|549|46.4122|-117.8548|DAYTON 8.7 NE, WA US
255|550|48.0757|-117.1926|ELK 5.6 NE, WA US
256|551|48.2|-121.5|GOLD HILL WASHINGTON, WA US
257|553|47.2899|-123.0434|SHELTON 5.9 NNE, WA US
258|558|47.7446|-122.5097|INDIANOLA 0.7 SSE, WA US
259|560|48.9576|-119.4432|OROVILLE 1.2 NNW, WA US
260|562|48.07|-120.85|TRINITY, WA US
261|566|47.7616|-122.4719|KINGSTON 2.7 SSE, WA US
